bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count
Manhattan,Midtown,40.74848,-73.98631,Entire home/apt,1,4,4.0,1
Manhattan,Hell's Kitchen,40.76007,-73.99031,Private room,1,0,0.0,1
Brooklyn,Crown Heights,40.67261,-73.9578,Private room,1,0,0.0,1
Queens,Jamaica,40.6896,-73.80446,Entire home/apt,1,103,2.67,2
Manhattan,Morningside Heights,40.80853,-73.96352,Entire home/apt,4,0,0.0,1
Brooklyn,Crown Heights,40.66541,-73.95736,Entire home/apt,1,29,1.72,1
Queens,Astoria,40.76802,-73.91815,Entire home/apt,4,45,1.32,1
Manhattan,Harlem,40.8275,-73.94323,Private room,1,14,1.35,1
Manhattan,Chelsea,40.74386,-74.00106,Entire home/apt,2,2,0.05,1
Brooklyn,Bedford-Stuyvesant,40.68382,-73.9215,Entire home/apt,2,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.67922,-73.95383,Private room,1,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.69023,-73.94628,Private room,1,19,0.29,5
Bronx,Allerton,40.87063,-73.84896,Private room,1,3,0.12,2
Brooklyn,Kensington,40.6421,-73.98171,Private room,2,14,0.6,4
Brooklyn,Park Slope,40.67595,-73.97635,Entire home/apt,11,8,0.26,1
Brooklyn,Williamsburg,40.71345,-73.95938,Private room,1,25,1.27,1
Brooklyn,Williamsburg,40.71257,-73.96326,Private room,1,4,4.0,1
Manhattan,Theater District,40.76106,-73.98627,Entire home/apt,3,3,0.11,1
Brooklyn,Williamsburg,40.70835,-73.95226,Entire home/apt,4,67,1.32,1
Manhattan,Chelsea,40.73724,-73.99429,Entire home/apt,1,5,5.0,2
Brooklyn,Bushwick,40.68885,-73.91487,Private room,2,8,0.74,10
Queens,Ridgewood,40.69922,-73.90027,Private room,1,30,0.4,1
Queens,Astoria,40.75998,-73.926,Entire home/apt,1,1,1.0,1
Brooklyn,Williamsburg,40.70685,-73.94231,Private room,150,2,0.32,2
Brooklyn,Vinegar Hill,40.69925,-73.98266,Private room,3,2,0.11,3
Bronx,Spuyten Duyvil,40.88058,-73.91812,Entire home/apt,186,7,0.18,1
Manhattan,Lower East Side,40.71864,-73.98346,Entire home/apt,7,1,0.02,1
Staten Island,New Dorp Beach,40.56506,-74.1024,Private room,1,0,0.0,2
Brooklyn,Greenpoint,40.7284,-73.94983,Entire home/apt,3,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.68858,-73.95675,Private room,1,0,0.0,1
Brooklyn,Midwood,40.62022,-73.95622,Entire home/apt,7,0,0.0,1
Brooklyn,Cobble Hill,40.68759,-73.99376,Private room,1,25,0.7,1
Brooklyn,Bushwick,40.70374,-73.93016,Private room,5,1,0.02,1
Manhattan,Midtown,40.75176,-73.96921,Entire home/apt,1,1,0.02,1
Brooklyn,Prospect Heights,40.67852,-73.97308,Private room,2,11,1.24,2
Brooklyn,East Flatbush,40.66051,-73.92964,Private room,1,0,0.0,3
Manhattan,East Village,40.72923,-73.98735,Entire home/apt,2,0,0.0,1
Manhattan,Financial District,40.70504,-74.00787,Entire home/apt,2,6,1.26,1
Manhattan,East Village,40.72335,-73.98549,Entire home/apt,3,10,0.15,1
Queens,Long Island City,40.74723,-73.94144,Entire home/apt,3,0,0.0,1
Manhattan,Midtown,40.75498,-73.96426,Entire home/apt,29,0,0.0,96
Manhattan,Murray Hill,40.74405,-73.97349,Entire home/apt,30,0,0.0,23
Manhattan,Harlem,40.80914,-73.94363,Private room,1,79,2.24,3
Manhattan,Hell's Kitchen,40.76381,-73.9919,Private room,5,1,0.16,1
Brooklyn,Greenpoint,40.72888,-73.94486,Entire home/apt,3,3,0.08,13
Manhattan,East Village,40.72711,-73.97727,Entire home/apt,5,1,0.06,1
Brooklyn,Bedford-Stuyvesant,40.69348,-73.94757,Shared room,18,8,1.89,1
Manhattan,Upper East Side,40.77127,-73.95493,Entire home/apt,2,21,0.82,1
Manhattan,Upper East Side,40.78465,-73.95735,Entire home/apt,30,7,0.22,91
Bronx,Port Morris,40.80743,-73.92971,Entire home/apt,5,7,0.23,1
Manhattan,Washington Heights,40.85663,-73.93564,Private room,4,22,1.46,1
Manhattan,Midtown,40.75969,-73.96644,Entire home/apt,300,0,0.0,1
Queens,Glendale,40.70603,-73.89562,Entire home/apt,3,6,3.6,1
Manhattan,Upper West Side,40.80114,-73.96772,Entire home/apt,30,17,0.47,1
Brooklyn,Bushwick,40.7005,-73.93827,Private room,2,16,0.76,1
Brooklyn,Park Slope,40.66723,-73.97607,Entire home/apt,10,4,0.2,1
Brooklyn,Fort Greene,40.69153,-73.97078,Entire home/apt,7,2,0.06,1
Manhattan,Inwood,40.86833,-73.92291,Entire home/apt,18,2,0.21,1
Manhattan,Financial District,40.7079,-74.00491,Entire home/apt,29,0,0.0,327
Brooklyn,Bushwick,40.69248,-73.91189,Private room,30,0,0.0,103
Brooklyn,Bedford-Stuyvesant,40.68925,-73.92805,Private room,30,3,0.36,5
Manhattan,Hell's Kitchen,40.76024,-74.00046,Entire home/apt,3,6,6.0,1
Manhattan,Harlem,40.81502,-73.9546,Entire home/apt,90,7,0.28,1
Brooklyn,Greenpoint,40.7264,-73.95613,Entire home/apt,2,12,0.71,1
Brooklyn,Greenpoint,40.72613,-73.9426,Private room,6,0,0.0,2
Brooklyn,Greenpoint,40.72151,-73.94141,Private room,1,39,1.66,2
Brooklyn,Williamsburg,40.71133,-73.96533,Entire home/apt,4,0,0.0,1
Brooklyn,Bensonhurst,40.61245,-73.99684,Private room,15,2,1.2,2
Brooklyn,Bushwick,40.70152,-73.91148,Private room,1,16,0.66,1
Brooklyn,Brooklyn Heights,40.69944,-73.99596,Entire home/apt,3,8,2.96,1
Manhattan,Harlem,40.82332,-73.95471,Private room,2,16,0.3,3
Manhattan,Lower East Side,40.71686,-73.98458,Private room,1,1,0.05,1
Brooklyn,Sheepshead Bay,40.58779,-73.94703,Private room,1,0,0.0,1
Brooklyn,Carroll Gardens,40.6776,-74.0014,Entire home/apt,5,1,0.03,1
Staten Island,New Springville,40.58091,-74.15485,Private room,1,74,3.34,3
Brooklyn,Crown Heights,40.677,-73.95923,Private room,30,0,0.0,1
Manhattan,Hell's Kitchen,40.76828,-73.98755,Entire home/apt,3,3,3.0,1
Manhattan,East Village,40.73114,-73.98439,Entire home/apt,7,6,0.23,1
Brooklyn,Sunset Park,40.64279,-74.00515,Entire home/apt,30,10,0.62,3
Brooklyn,Williamsburg,40.71822,-73.94454,Entire home/apt,4,53,1.46,1
Manhattan,Harlem,40.80953,-73.9541,Private room,1,0,0.0,1
Manhattan,Upper West Side,40.77158,-73.98976,Private room,300,2,0.1,1
Queens,Jackson Heights,40.74766,-73.88949,Private room,20,1,0.03,1
Brooklyn,Bushwick,40.70526,-73.91964,Private room,1,1,0.02,1
Brooklyn,Boerum Hill,40.68612,-73.98013,Private room,1,15,2.63,1
Queens,Elmhurst,40.74579,-73.88904,Entire home/apt,3,16,1.42,1
Brooklyn,Bushwick,40.69501,-73.92296,Private room,3,2,0.14,5
Manhattan,Upper West Side,40.77054,-73.98344,Entire home/apt,30,2,0.52,25
Brooklyn,Williamsburg,40.71797,-73.95441,Entire home/apt,3,0,0.0,1
Manhattan,East Village,40.72645,-73.98035,Private room,1,278,2.95,3
Brooklyn,Bedford-Stuyvesant,40.694,-73.93354,Entire home/apt,2,26,3.94,1
Manhattan,Chelsea,40.74286,-73.99436,Entire home/apt,29,0,0.0,327
Manhattan,Washington Heights,40.83498,-73.94214,Private room,2,0,0.0,1
Brooklyn,Park Slope,40.68242,-73.97904,Entire home/apt,3,59,0.84,1
Queens,Astoria,40.77698,-73.93389,Entire home/apt,7,0,0.0,1
Brooklyn,Bushwick,40.69995,-73.92937,Entire home/apt,5,14,0.33,1
Queens,Astoria,40.76315,-73.92709,Private room,14,1,0.02,1
Brooklyn,Crown Heights,40.66997,-73.92696,Private room,2,0,0.0,1
Manhattan,Financial District,40.71017,-74.00924,Private room,3,76,2.93,1
Manhattan,Midtown,40.76358,-73.97825,Entire home/apt,1,0,0.0,1
Brooklyn,Prospect Heights,40.67556,-73.96427,Private room,1,1,0.05,1
Manhattan,Harlem,40.8276,-73.94457,Private room,1,4,0.85,2
Manhattan,Hell's Kitchen,40.75671,-73.99694,Private room,1,20,2.49,30
Bronx,City Island,40.84443,-73.78497,Entire home/apt,1,0,0.0,4
Manhattan,Financial District,40.70619,-74.0064,Entire home/apt,29,1,0.58,96
Queens,Astoria,40.76001,-73.91865,Entire home/apt,2,9,0.29,1
Manhattan,West Village,40.73198,-74.00239,Entire home/apt,30,0,0.0,96
Brooklyn,East Flatbush,40.63611,-73.94637,Entire home/apt,3,79,0.88,4
Manhattan,Hell's Kitchen,40.76259,-73.98667,Entire home/apt,30,0,0.0,65
Brooklyn,Williamsburg,40.70585,-73.9531,Private room,30,4,0.17,3
Manhattan,Hell's Kitchen,40.76504,-73.99491,Entire home/apt,30,4,0.12,31
Manhattan,Lower East Side,40.72028,-73.98182,Private room,3,1,0.03,1
Brooklyn,Bedford-Stuyvesant,40.69024,-73.95197,Entire home/apt,3,7,0.12,1
Manhattan,Two Bridges,40.70911,-73.99685,Entire home/apt,3,18,0.26,1
Brooklyn,Fort Greene,40.6931,-73.9723,Entire home/apt,3,6,0.27,1
Brooklyn,Borough Park,40.63549,-74.00553,Private room,1,16,1.73,7
Manhattan,Upper East Side,40.76112,-73.9619,Entire home/apt,30,12,0.27,34
Manhattan,Upper East Side,40.7613,-73.96152,Entire home/apt,1,0,0.0,1
Brooklyn,East Flatbush,40.65261,-73.94486,Private room,60,9,0.45,2
Bronx,Schuylerville,40.83022,-73.83286,Private room,2,1,0.11,1
Manhattan,Financial District,40.70571,-74.00675,Entire home/apt,3,1,0.27,1
Manhattan,Upper West Side,40.79873,-73.96938,Entire home/apt,2,0,0.0,1
Manhattan,SoHo,40.72708,-74.00055,Entire home/apt,5,36,0.71,1
Manhattan,Upper West Side,40.78763,-73.97204,Private room,3,21,0.49,2
Brooklyn,South Slope,40.66752,-73.98892,Entire home/apt,2,76,1.33,1
Brooklyn,Crown Heights,40.67532,-73.90891,Entire home/apt,3,0,0.0,1
Manhattan,East Harlem,40.79398,-73.94159,Entire home/apt,2,14,0.91,1
Queens,Ridgewood,40.70769,-73.89641,Private room,30,1,1.0,23
Brooklyn,Flatbush,40.65248,-73.95278,Private room,3,42,4.24,1
Manhattan,Gramercy,40.73494,-73.98751,Entire home/apt,365,0,0.0,1
Manhattan,Upper West Side,40.77548,-73.98965,Entire home/apt,30,5,0.38,25
Brooklyn,Bedford-Stuyvesant,40.69107,-73.92638,Private room,2,1,1.0,1
Manhattan,Midtown,40.74892,-73.9828,Entire home/apt,30,7,0.17,31
Manhattan,Chelsea,40.749,-73.99579,Entire home/apt,5,5,3.33,2
Brooklyn,Manhattan Beach,40.58078,-73.95356,Private room,2,21,0.56,1
Manhattan,Morningside Heights,40.80402,-73.96345,Entire home/apt,14,2,0.78,12
Brooklyn,Williamsburg,40.7149,-73.94585,Entire home/apt,2,2,2.0,3
Brooklyn,Clinton Hill,40.68699,-73.9639,Entire home/apt,3,88,2.04,1
Manhattan,Upper West Side,40.78962,-73.97718,Entire home/apt,2,9,0.16,1
Queens,Ridgewood,40.69326,-73.90316,Entire home/apt,2,0,0.0,1
Manhattan,West Village,40.7341,-74.00104,Entire home/apt,3,1,0.03,1
Brooklyn,Vinegar Hill,40.7041,-73.98089,Entire home/apt,6,1,0.03,1
Brooklyn,Bedford-Stuyvesant,40.68295,-73.91472,Entire home/apt,4,9,0.23,1
Manhattan,Financial District,40.70595,-74.00974,Entire home/apt,2,2,2.0,1
Manhattan,East Village,40.72455,-73.9783,Entire home/apt,14,2,0.29,1
Brooklyn,Crown Heights,40.67115,-73.94932,Entire home/apt,2,0,0.0,1
Bronx,City Island,40.83959,-73.78587,Private room,7,0,0.0,1
Manhattan,Washington Heights,40.84005,-73.93735,Private room,1,1,0.02,2
Queens,Maspeth,40.72167,-73.90095,Entire home/apt,7,2,1.22,3
Manhattan,East Village,40.72916,-73.98022,Private room,3,13,0.34,1
Queens,East Elmhurst,40.75809,-73.8693,Private room,1,135,9.74,2
Manhattan,Midtown,40.7662,-73.98321,Private room,3,1,0.03,1
Manhattan,West Village,40.73207,-74.01087,Entire home/apt,4,1,1.0,1
Manhattan,Inwood,40.86644,-73.92677,Private room,3,18,0.35,2
Manhattan,East Village,40.72487,-73.98125,Entire home/apt,4,3,0.08,1
Manhattan,Harlem,40.82294,-73.94999,Entire home/apt,1,50,0.72,1
Brooklyn,Flatbush,40.64504,-73.9608,Entire home/apt,2,6,1.5,1
Manhattan,Roosevelt Island,40.76437,-73.94844,Private room,1,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.6785,-73.91803,Entire home/apt,3,107,4.31,1
Brooklyn,Greenpoint,40.734,-73.95474,Entire home/apt,2,27,0.35,1
Brooklyn,Prospect-Lefferts Gardens,40.65945,-73.96145,Private room,1,32,3.81,1
Manhattan,Hell's Kitchen,40.76424,-73.98916,Shared room,1,8,6.32,7
Brooklyn,Kensington,40.64625,-73.97932,Entire home/apt,10,33,0.39,1
Manhattan,NoHo,40.72703,-73.99264,Entire home/apt,5,2,0.46,1
Brooklyn,Downtown Brooklyn,40.69671,-73.98417,Private room,2,106,3.59,2
Manhattan,Harlem,40.82914,-73.94254,Private room,2,11,0.28,1
Manhattan,Midtown,40.76372,-73.98355,Shared room,2,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.68542,-73.91741,Entire home/apt,7,1,0.05,1
Manhattan,East Harlem,40.78644,-73.9438,Private room,30,4,0.08,9
Queens,East Elmhurst,40.75966,-73.88295,Private room,1,140,7.47,2
Manhattan,Kips Bay,40.74416,-73.97702,Entire home/apt,3,0,0.0,1
Manhattan,Harlem,40.81525,-73.95279,Entire home/apt,6,0,0.0,1
Manhattan,Lower East Side,40.71909,-73.98473,Private room,1,41,1.07,3
Manhattan,Upper East Side,40.76944,-73.95252,Entire home/apt,2,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.68268,-73.93055,Private room,1,12,5.37,1
Queens,Springfield Gardens,40.66316,-73.74804,Entire home/apt,3,1,1.0,1
Manhattan,Morningside Heights,40.80624,-73.9634,Private room,1,7,0.57,1
Queens,Elmhurst,40.74066,-73.87755,Private room,30,0,0.0,37
Brooklyn,Williamsburg,40.71209,-73.9634,Entire home/apt,4,17,0.85,1
Manhattan,Financial District,40.70645,-74.01144,Entire home/apt,7,2,0.05,1
Manhattan,Midtown,40.75643,-73.96375,Entire home/apt,30,1,1.0,14
Manhattan,Harlem,40.81024,-73.9525,Private room,1,10,0.21,1
Manhattan,Battery Park City,40.71082,-74.0176,Private room,1,65,3.68,1
Brooklyn,Williamsburg,40.70823,-73.95702,Entire home/apt,2,4,4.0,1
Queens,Astoria,40.75717,-73.92831,Entire home/apt,4,19,3.0,1
Manhattan,Upper East Side,40.77336,-73.95054,Entire home/apt,3,0,0.0,1
Queens,Astoria,40.75878,-73.92615,Private room,2,32,0.67,2
Brooklyn,East New York,40.67199,-73.88253,Private room,15,1,0.23,3
Manhattan,Chelsea,40.74761,-74.00584,Entire home/apt,5,3,0.16,1
Manhattan,Gramercy,40.73631,-73.98525,Private room,7,0,0.0,1
Manhattan,Upper West Side,40.79733,-73.96104,Entire home/apt,5,0,0.0,1
Brooklyn,Williamsburg,40.71994,-73.9599,Private room,1,194,3.81,3
Manhattan,Inwood,40.86709,-73.92962,Private room,2,12,0.34,2
Brooklyn,Williamsburg,40.71178,-73.95779,Private room,2,0,0.0,1
Brooklyn,Bushwick,40.68834,-73.90714,Private room,1,0,0.0,1
Brooklyn,Greenpoint,40.73641,-73.9533,Entire home/apt,3,24,0.32,28
Brooklyn,Williamsburg,40.70772,-73.95978,Entire home/apt,3,13,0.35,2
Brooklyn,Williamsburg,40.71358,-73.95906,Private room,5,0,0.0,1
Manhattan,East Village,40.73333,-73.99075,Entire home/apt,1,0,0.0,1
Brooklyn,Williamsburg,40.71195,-73.94307,Private room,5,10,0.7,2
Brooklyn,Williamsburg,40.70508,-73.93763,Entire home/apt,5,0,0.0,1
Manhattan,Upper West Side,40.79284,-73.97675,Entire home/apt,12,20,0.37,1
Brooklyn,Bedford-Stuyvesant,40.68682,-73.92837,Private room,1,32,8.57,6
Brooklyn,Williamsburg,40.71014,-73.95871,Private room,1,10,0.28,1
Bronx,University Heights,40.85696,-73.91439,Private room,2,122,2.15,4
Brooklyn,Gowanus,40.66907,-73.99221,Entire home/apt,2,6,3.46,1
Brooklyn,Kensington,40.64469,-73.97086,Private room,14,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.6943,-73.94538,Private room,1,32,0.43,3
Brooklyn,Prospect Heights,40.67734,-73.96433,Private room,1,1,0.02,2
Brooklyn,Crown Heights,40.67299,-73.95804,Entire home/apt,4,1,0.16,1
Manhattan,Morningside Heights,40.80722,-73.95924,Private room,5,0,0.0,1
Brooklyn,Fort Greene,40.68832,-73.97731,Entire home/apt,3,38,4.15,1
Manhattan,Greenwich Village,40.73455,-73.99171,Entire home/apt,30,0,0.0,49
Manhattan,Hell's Kitchen,40.76125,-73.99642,Entire home/apt,1,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.69216,-73.92933,Entire home/apt,5,5,0.27,1
Brooklyn,Williamsburg,40.71398,-73.94605,Entire home/apt,2,0,0.0,3
Manhattan,Harlem,40.80276,-73.94976,Entire home/apt,28,53,1.4,2
Brooklyn,Carroll Gardens,40.68378,-74.00046,Entire home/apt,2,0,0.0,1
Brooklyn,Bushwick,40.70185,-73.93119,Private room,2,0,0.0,1
Manhattan,Chelsea,40.74441,-74.00385,Entire home/apt,7,4,0.43,1
Manhattan,SoHo,40.72635,-74.00298,Private room,1,1,0.04,1
Queens,Bay Terrace,40.78645,-73.77958,Private room,3,8,0.25,2
Manhattan,Hell's Kitchen,40.76306,-73.99257,Entire home/apt,30,3,0.12,31
Brooklyn,Bushwick,40.68477,-73.908,Private room,3,1,0.06,3
Manhattan,Chinatown,40.71457,-73.9958,Private room,1,71,5.5,3
Brooklyn,Greenpoint,40.72778,-73.94781,Private room,7,0,0.0,1
Queens,Maspeth,40.71415,-73.91426,Private room,1,55,3.26,2
Manhattan,East Village,40.73128,-73.98596,Private room,1,6,0.13,3
Manhattan,Murray Hill,40.74637,-73.97207,Entire home/apt,30,0,0.0,49
Manhattan,West Village,40.73905,-74.0014,Entire home/apt,3,4,0.08,1
Brooklyn,Sunset Park,40.64465,-74.01881,Private room,1,1,0.02,1
Queens,Springfield Gardens,40.66257,-73.76514,Entire home/apt,2,55,2.5,1
Manhattan,Midtown,40.75235,-73.96781,Entire home/apt,30,2,0.04,5
Brooklyn,Prospect-Lefferts Gardens,40.6559,-73.95443,Private room,1,0,0.0,1
Queens,East Elmhurst,40.76021,-73.88301,Private room,1,3,2.14,4
Brooklyn,East Flatbush,40.64377,-73.95085,Entire home/apt,3,53,2.24,2
Manhattan,Harlem,40.81118,-73.94313,Entire home/apt,14,9,0.23,1
Brooklyn,Red Hook,40.67748,-74.00989,Entire home/apt,2,132,3.91,1
Brooklyn,Clinton Hill,40.69112,-73.96059,Private room,7,3,0.12,1
Brooklyn,Downtown Brooklyn,40.69256,-73.99085,Entire home/apt,5,0,0.0,1
Brooklyn,Crown Heights,40.6764,-73.96218,Entire home/apt,28,5,0.06,1
Manhattan,Lower East Side,40.71858,-73.98613,Private room,1,1,0.02,1
Brooklyn,Bedford-Stuyvesant,40.6999,-73.94406,Private room,1,3,0.46,2
Manhattan,Upper East Side,40.77773,-73.95383,Entire home/apt,4,9,0.71,1
Manhattan,Hell's Kitchen,40.76477,-73.98542,Entire home/apt,3,16,0.27,1
Brooklyn,Kensington,40.64205,-73.98049,Private room,1,19,1.69,11
Manhattan,Lower East Side,40.71876,-73.98851,Entire home/apt,1,238,2.59,1
Brooklyn,East Flatbush,40.65275,-73.95119,Entire home/apt,1,0,0.0,1
Manhattan,Midtown,40.75456,-73.96626,Entire home/apt,2,11,0.21,1
Manhattan,Harlem,40.81951,-73.94161,Private room,1,0,0.0,1
Brooklyn,East Flatbush,40.65777,-73.91671,Entire home/apt,2,36,1.57,1
Brooklyn,Bay Ridge,40.62487,-74.02949,Private room,30,54,1.17,4
Manhattan,Midtown,40.74897,-73.98642,Private room,3,2,0.32,1
Queens,Long Island City,40.75332,-73.93343,Private room,1,25,2.56,1
Manhattan,Midtown,40.74759,-73.98889,Entire home/apt,2,9,1.54,13
Manhattan,SoHo,40.72494,-74.00839,Private room,30,19,0.5,1
Queens,Long Island City,40.76079,-73.93215,Private room,1,5,0.13,1
Manhattan,Lower East Side,40.72088,-73.98533,Entire home/apt,2,1,0.03,1
Brooklyn,Bedford-Stuyvesant,40.69545,-73.94829,Private room,7,8,0.34,1
Brooklyn,Boerum Hill,40.68416,-73.97912,Private room,1,3,0.19,1
Queens,Ridgewood,40.69956,-73.90752,Private room,6,2,0.26,1
Manhattan,Hell's Kitchen,40.75606,-73.99374,Entire home/apt,2,3,3.0,2
Manhattan,Financial District,40.70497,-74.00746,Entire home/apt,30,1,0.27,232
Manhattan,Upper West Side,40.80154,-73.96106,Entire home/apt,3,5,3.85,1
Bronx,Fordham,40.85912,-73.89254,Private room,3,0,0.0,2
Manhattan,Chinatown,40.71721,-73.99312,Entire home/apt,1,16,1.22,4
Manhattan,Upper West Side,40.79103,-73.97632,Private room,1,59,5.75,1
Manhattan,Harlem,40.809,-73.94263,Entire home/apt,2,292,4.95,2
Brooklyn,Cobble Hill,40.68615,-73.9972,Entire home/apt,3,11,0.59,1
Brooklyn,Bedford-Stuyvesant,40.69015,-73.94075,Private room,2,24,2.32,2
Brooklyn,East New York,40.66676,-73.87421,Private room,3,9,0.95,13
Manhattan,East Village,40.73001,-73.98464,Entire home/apt,2,48,1.41,1
Manhattan,Midtown,40.74509,-73.98268,Entire home/apt,1,9,0.2,1
Manhattan,Upper West Side,40.79795,-73.96199,Entire home/apt,5,2,0.08,1
Manhattan,Greenwich Village,40.72805,-73.99871,Entire home/apt,2,2,0.03,1
Brooklyn,Clinton Hill,40.68839,-73.96018,Entire home/apt,1,93,4.67,1
Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,7,13,0.12,1
Queens,Sunnyside,40.73954,-73.92095,Shared room,1,0,0.0,1
Brooklyn,Bedford-Stuyvesant,40.67695,-73.91567,Entire home/apt,2,96,2.5,2
Brooklyn,Bedford-Stuyvesant,40.68876,-73.95265,Entire home/apt,3,43,2.86,1
Manhattan,Inwood,40.86438,-73.92086,Shared room,2,2,0.12,1
Queens,Bay Terrace,40.77415,-73.79218,Entire home/apt,1,0,0.0,1
Manhattan,Lower East Side,40.72232,-73.98987,Private room,3,139,2.29,1
Queens,Maspeth,40.71937,-73.90442,Private room,1,2,0.13,2
Brooklyn,Fort Greene,40.68859,-73.9729,Entire home/apt,9,3,0.04,1
Brooklyn,Williamsburg,40.71102,-73.95123,Entire home/apt,7,1,0.03,1
Brooklyn,Crown Heights,40.66753,-73.95099,Private room,5,7,0.18,2
Manhattan,East Village,40.7226,-73.97591,Private room,7,9,0.71,1
Queens,Douglaston,40.75754,-73.73068,Private room,1,12,0.55,5
Queens,Richmond Hill,40.68821,-73.83411,Private room,3,26,1.38,1
Manhattan,Midtown,40.75866,-73.98032,Private room,3,13,0.88,2
Brooklyn,East Flatbush,40.66097,-73.9319,Entire home/apt,4,15,1.27,1
Manhattan,West Village,40.73378,-74.00429,Entire home/apt,7,8,0.12,1
Manhattan,Hell's Kitchen,40.76176,-73.98981,Entire home/apt,4,19,1.63,1
Brooklyn,Bedford-Stuyvesant,40.69576,-73.94314,Private room,2,0,0.0,7
Brooklyn,Park Slope,40.67071,-73.9792,Entire home/apt,2,4,1.3,1
Manhattan,Upper East Side,40.76516,-73.95841,Private room,1,23,1.46,5
Staten Island,Concord,40.59784,-74.08391,Private room,4,51,1.69,8
Manhattan,East Village,40.72785,-73.97976,Entire home/apt,1,80,4.62,3
Brooklyn,Carroll Gardens,40.6798,-73.99272,Entire home/apt,2,7,0.9,1
Manhattan,Upper East Side,40.78266,-73.94673,Private room,2,0,0.0,6
Queens,Astoria,40.75596,-73.92798,Entire home/apt,2,44,2.37,1
Manhattan,East Harlem,40.79805,-73.93527,Private room,2,62,4.14,1
Manhattan,Lower East Side,40.71489,-73.98511,Entire home/apt,2,6,0.92,3
Brooklyn,Fort Greene,40.68794,-73.97393,Entire home/apt,3,10,0.21,1
Brooklyn,Williamsburg,40.70564,-73.93646,Private room,1,2,0.05,1
Brooklyn,Williamsburg,40.71872,-73.95949,Private room,1,6,3.4,2
Manhattan,Chelsea,40.74413,-74.00004,Private room,3,4,0.43,1
Manhattan,Lower East Side,40.71752,-73.99147,Private room,2,0,0.0,1
Manhattan,Two Bridges,40.71155,-73.99712,Private room,3,0,0.0,1
Brooklyn,Flatbush,40.65021,-73.96293,Private room,2,13,0.66,1
Brooklyn,Bedford-Stuyvesant,40.6872,-73.95231,Entire home/apt,5,55,1.44,1
Manhattan,Financial District,40.70493,-74.0065,Entire home/apt,29,0,0.0,96
Brooklyn,Windsor Terrace,40.65463,-73.97536,Entire home/apt,2,0,0.0,1
Queens,Sunnyside,40.73802,-73.91902,Entire home/apt,3,10,2.48,2
Brooklyn,Williamsburg,40.71494,-73.96214,Entire home/apt,3,28,2.09,1
Brooklyn,Bushwick,40.69975,-73.91202,Entire home/apt,1,0,0.0,1
Brooklyn,Manhattan Beach,40.57867,-73.95227,Entire home/apt,1,41,1.1,2
Brooklyn,Bedford-Stuyvesant,40.68512,-73.93607,Entire home/apt,3,34,1.52,1
Brooklyn,Bushwick,40.70642,-73.91665,Entire home/apt,3,115,1.75,2
Queens,Astoria,40.7577,-73.91981,Entire home/apt,3,1,0.05,1
Manhattan,Gramercy,40.73427,-73.98456,Entire home/apt,2,4,0.14,1
Brooklyn,Crown Heights,40.67676,-73.94513,Entire home/apt,3,25,0.91,1
Manhattan,Roosevelt Island,40.76688,-73.94688,Entire home/apt,1,0,0.0,1
Queens,Astoria,40.76448,-73.92714,Entire home/apt,2,0,0.0,1
Manhattan,Financial District,40.70711,-74.01044,Entire home/apt,2,4,2.5,327
Queens,Astoria,40.76106,-73.9078,Entire home/apt,1,64,3.43,2
Brooklyn,Williamsburg,40.71635,-73.94609,Private room,3,0,0.0,1
Bronx,Longwood,40.82417,-73.90156,Private room,1,182,3.82,2
Manhattan,Harlem,40.80849,-73.9446,Entire home/apt,3,10,0.27,1
Manhattan,Washington Heights,40.83958,-73.94323,Private room,1,0,0.0,2
Brooklyn,Greenpoint,40.72965,-73.95707,Private room,2,7,0.34,1
Manhattan,East Village,40.72696,-73.9811,Entire home/apt,3,6,0.94,1
Brooklyn,Bushwick,40.69822,-73.93517,Private room,2,11,0.15,2
Manhattan,West Village,40.73861,-74.00467,Entire home/apt,3,7,0.68,1
Brooklyn,Clinton Hill,40.69513,-73.96245,Entire home/apt,3,0,0.0,1
Manhattan,Harlem,40.8261,-73.95139,Private room,1,157,3.04,4
Manhattan,Harlem,40.79863,-73.95292,Private room,2,25,0.48,1
Manhattan,East Village,40.73065,-73.98523,Entire home/apt,2,18,3.88,1
Brooklyn,Crown Heights,40.67902,-73.96101,Entire home/apt,5,2,0.04,1
Brooklyn,East New York,40.67077,-73.87564,Entire home/apt,2,23,1.36,1
Brooklyn,Williamsburg,40.71558,-73.93577,Entire home/apt,3,26,0.76,1
Manhattan,Hell's Kitchen,40.76312,-73.99394,Entire home/apt,2,6,5.45,1
Brooklyn,Sunset Park,40.63867,-74.00681,Private room,1,12,1.37,5
